,symbol,regime,direction,entry_price,exit_price,outcome,return_pct (%),PnL ($),entry_time,exit_time,notes
238,UVXY,normal,Long,101.23,100.74018008553112,SL hit,-0.48386833396115947,-5.638683339611594,2024-12-30T16:34:00.000,2024-12-30T16:36:00.000,Entry: Long @ 101.2300 (next-bar open) | regime=normal | SL=100.7402 | TP=102.5669
237,UVXY,normal,Long,103.5,102.74213990897651,SL hit,-0.7322319720033703,-8.122319720033703,2024-12-30T16:10:00.000,2024-12-30T16:18:00.000,Entry: Long @ 103.5000 (next-bar open) | regime=normal | SL=102.7421 | TP=106.3749
236,UVXY,normal,Long,106.76,106.3139241517306,SL hit,-0.4178305060597619,-4.978305060597619,2024-12-30T15:57:00.000,2024-12-30T15:59:00.000,Entry: Long @ 106.7600 (next-bar open) | regime=normal | SL=106.3139 | TP=108.4472
235,UVXY,normal,Long,107.34,106.93234154105785,SL hit,-0.37978242867724193,-4.597824286772419,2024-12-30T15:46:00.000,2024-12-30T15:55:00.000,Entry: Long @ 107.3400 (next-bar open) | regime=normal | SL=106.9323 | TP=110.1043
234,UVXY,normal,Long,107.9,110.86337320352344,TP hit,2.746407046824311,26.66407046824311,2024-12-30T15:15:00.000,2024-12-30T15:20:00.000,Entry: Long @ 107.9000 (next-bar open) | regime=normal | SL=107.3550 | TP=110.8634
233,UVXY,normal,Long,99.2,100.74627937468482,TP hit,1.5587493696419505,14.787493696419505,2024-12-27T21:01:00.000,2024-12-30T09:00:00.000,Entry: Long @ 99.2000 (next-bar open) | regime=normal | SL=98.9053 | TP=100.7463
232,UVXY,normal,Long,99,98.45291071235745,SL hit,-0.5526154420631814,-6.326154420631814,2024-12-27T18:58:00.000,2024-12-27T19:06:00.000,Entry: Long @ 99.0000 (next-bar open) | regime=normal | SL=98.4529 | TP=100.4268
231,UVXY,normal,Long,100.95,100.87370490128048,SL hit,-0.07557711611642078,-1.5557711611642078,2024-12-27T18:41:00.000,2024-12-27T18:42:00.000,Entry: Long @ 100.9500 (next-bar open) | regime=normal | SL=100.8737 | TP=102.3985
230,UVXY,normal,Long,101.48,100.96615501523564,SL hit,-0.5063509901107226,-5.863509901107226,2024-12-27T18:05:00.000,2024-12-27T18:40:00.000,Entry: Long @ 101.4800 (next-bar open) | regime=normal | SL=100.9662 | TP=103.6756
229,UVXY,normal,Long,102.55,102.26642863304575,SL hit,-0.2765201042947329,-3.5652010429473293,2024-12-27T18:01:00.000,2024-12-27T18:02:00.000,Entry: Long @ 102.5500 (next-bar open) | regime=normal | SL=102.2664 | TP=104.0476
228,UVXY,normal,Long,103.35,102.90668175640269,SL hit,-0.42894846985709123,-5.089484698570913,2024-12-27T17:31:00.000,2024-12-27T17:32:00.000,Entry: Long @ 103.3500 (next-bar open) | regime=normal | SL=102.9067 | TP=104.8608
227,UVXY,normal,Long,103.21,103.14826598807717,SL hit,-0.05981398306639195,-1.3981398306639194,2024-12-27T15:42:00.000,2024-12-27T15:43:00.000,Entry: Long @ 103.2100 (next-bar open) | regime=normal | SL=103.1483 | TP=105.5755
226,UVXY,decay_bounce_short,Short,96.3,97.6592154208805,Trail stop,-1.4114386509662542,-14.914386509662544,2024-12-24T14:39:00.000,2024-12-24T14:50:00.000,Entry: Short @ 96.3000 (next-bar open) | regime=decay_bounce_short | SL=107.8560 | TP=none | trail=atr:4.50
225,UVXY,decay_bounce_short,Short,103.75,100.78149658631634,Trail stop,2.8612081095746156,27.812081095746155,2024-12-23T20:10:00.000,2024-12-23T22:00:00.000,Entry: Short @ 103.7500 (next-bar open) | regime=decay_bounce_short | SL=116.2000 | TP=none | trail=atr:4.50
224,UVXY,decay_bounce_short,Short,108.55,103.03628689218027,Trail stop,5.079422485324483,49.99422485324484,2024-12-23T16:31:00.000,2024-12-23T19:52:00.000,Entry: Short @ 108.5500 (next-bar open) | regime=decay_bounce_short | SL=121.5760 | TP=none | trail=atr:4.50
223,UVXY,decay_bounce_short,Short,108.25,109.02993745698686,Trail stop,-0.7204964960617622,-8.004964960617624,2024-12-23T13:02:00.000,2024-12-23T13:37:00.000,Entry: Short @ 108.2500 (next-bar open) | regime=decay_bounce_short | SL=121.2400 | TP=none | trail=atr:4.50
222,UVXY,normal,Long,112.5,114.29620168813861,TP hit,1.596623722789875,15.16623722789875,2024-12-20T19:36:00.000,2024-12-20T19:52:00.000,Entry: Long @ 112.5000 (next-bar open) | regime=normal | SL=111.9570 | TP=114.2962
221,UVXY,normal,Long,126.75,126.27110302373003,SL hit,-0.37782798916762533,-4.578279891676253,2024-12-20T15:31:00.000,2024-12-20T15:32:00.000,Entry: Long @ 126.7500 (next-bar open) | regime=normal | SL=126.2711 | TP=129.6170
220,UVXY,normal,Long,135.55,134.95101569053716,SL hit,-0.44189178123412,-5.2189178123412,2024-12-19T20:23:00.000,2024-12-19T20:24:00.000,Entry: Long @ 135.5500 (next-bar open) | regime=normal | SL=134.9510 | TP=139.7974
